"EFF_DATE","PJA_ID","FAC_ID","FAC_NAME","LOC_ID","COMMERCIAL_FREQ","COMMERCIAL_CHART_FLAG","MIL_FREQ","MIL_CHART_FLAG","SECTOR","CONTACT_FREQ_ALTITUDE"
"2026/05/14","PMI023","","SELFRIDGE ANG","MTC",119.6,"Y",318.2,"Y","",""
"2026/05/14","PMI024","ZMP","MINNEAPOLIS","CEK",132.9,"Y",,"","",""
"2026/05/14","PMN006","","SKYDIVE NORTHSTAR","ACQ",122.8,"Y",,"","",""
"2026/05/14","PMO008","SGF","SPRINGFIELD-BRANSON NTL","SGF",124.95,"Y",318.2,"Y","",""
"2026/05/14","PMO010","SGF","SPRINGFIELD-BRANSON NTL","SGF",124.95,"Y",318.2,"Y","",""
"2026/05/14","PMO014","SGF","SPRINGFIELD-BRANSON NTL","SGF",124.95,"Y",318.2,"N","",""
"2026/05/14","PMT018","HLN","HELENA RGNL","HLN",118.3,"Y",,"","",""
"2026/05/14","PNC039","VUJ","STANLY COUNTY","VUZ",126.275,"N",,"","",""
"2026/05/14","PNC042","CLT","CHARLOTTE/DOUGLAS INTL","N92",134.74,"N",,"","",""
"2026/05/14","PNC043","CLT","CHARLOTTE/DOUGLAS INTL","N92",128.32,"N",,"","",""
"2026/05/14","PNE001","","LINCOLN APP/DEP CON","CEK",124,"N",,"","",""
"2026/05/14","PNE001","ZMP","MINNEAPOLIS","CEK",128.75,"N",,"","",""
"2026/05/14","PNE007","ZDV","DENVER","ZDV",132.7,"Y",,"","",""
"2026/05/14","PNJ011","ABE","LEHIGH VALLEY INTL","ABE",124,"N",,"","",""
"2026/05/14","PNJ012","ACY","ATLANTIC CITY INTL","ACY",134.25,"Y",,"","",""
"2026/05/14","PNM007","ABQ","ALBUQUERQUE INTL SUNPORT","ABQ",123.9,"N",354.1,"N","SOUTH","14500"
"2026/05/14","PNV005","L30","LAS VEGAS TRACON","L30",125.475,"N",,"","",""
"2026/05/14","PNV010","L30","LAS VEGAS TRACON","L30",125.475,"N",,"","",""
"2026/05/14","PNY030","N90","NEW YORK TRACON","N90",118,"N",,"","",""
"2026/05/14","PNY031","ROC","FREDERICK DOUGLASS/GREATER ROCHESTER INTL","ROC",123.7,"Y",,"","",""
"2026/05/14","PNY032","BUF","BUFFALO NIAGARA INTL","BUF",126.5,"Y",,"","",""
"2026/05/14","POH006","CAK","AKRON-CANTON RGNL","CAK",125.5,"Y",371.875,"N","",""
"2026/05/14","POH020","CMH","JOHN GLENN COLUMBUS INTL","CMH",125.95,"Y",,"","",""
