"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","TAB_NAME","REF_COL_NAME","REF_COL_SEQ_NO","REMARK"
"2026/06/11","ALWYZ INT*VA*K6",1,"VA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","ALWYZ WP*VA*K6",2,"VA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","AMOTT INT*AK*PA",1,"AK","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","AYPEV INT*IL*K5",1,"IL","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","BELLGROVE NDB*PA",1,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 100K ICON"
"2026/06/11","BELLGROVE NDB*PA",2,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 200K ICON"
"2026/06/11","BIG DELTA VORTAC*AK",1,"AK","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART PAT 1 WITH 210K ICON"
"2026/06/11","BILIT WP*MD*K6",1,"MD","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BILIT WP*MD*K6",2,"MD","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BILIT WP*MD*K6",3,"MD","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BNTLY WP*VA*K6",1,"VA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","BOGEE INT*HI*PH",1,"HI","US","HOLDING_PATTERN","GENERAL_REMARK",0,"CHART 175K ICON."
"2026/06/11","BOGEE INT*HI*PH",2,"HI","US","HOLDING_PATTERN","GENERAL_REMARK",0,"CHART 175K ICON."
"2026/06/11","BOLL WEEVIL NDB*AL",1,"AL","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 100K ICON"
"2026/06/11","BORLAND NDB/DME*AK",1,"AK","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON ON LOW CHART"
"2026/06/11","BRAND WP*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BRAND WP*NJ*K6",2,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BUBBI INT*WV*K6",1,"WV","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON."
"2026/06/11","BUNTS INT*PA*K6",1,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON."
"2026/06/11","BUNTS WP*PA*K6",2,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","BURMA WP*AK*PA",1,"AK","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 200K ICON"
"2026/06/11","BVRLY INT*MO*K3",1,"MO","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","CAMRN INT*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","CHARLESTON VOR/DME*WV",4,"WV","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 175K ICON"
"2026/06/11","COPAN INT*TX*K4",1,"TX","US","HOLDING_PATTERN","GENERAL_REMARK",1,"DME REQUIRED."
"2026/06/11","CRALY INT*CT*K6",1,"CT","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","CRALY WP*CT*K6",2,"CT","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON."
"2026/06/11","CUTTA WP*OH*K5",2,"OH","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DAFIX INT*PA*K6",1,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DAMYR WP*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DEEZZ WP*NY*K6",2,"NY","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","DEPDY WP*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DEPDY WP*NJ*K6",2,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DITCH INT*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","DUBLIN VORTAC*GA",1,"GA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"SINCA STAR ONLY"
"2026/06/11","DUPONT VORTAC*DE",1,"DE","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON."
"2026/06/11","EARED WP*PA*K6",1,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","EARED WP*PA*K6",1,"PA","US","HOLDING_PATTERN","GENERAL_REMARK",2,"CHART 10 NM LEGS"
"2026/06/11","EDJER INT*NJ*K6",1,"NJ","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON."
"2026/06/11","ELLENSBURG VOR/DME*WA",2,"WA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 175K ICON"
"2026/06/11","ELSUH INT*ME*K6",4,"ME","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 265K ICON"
"2026/06/11","FALIA INT*MT*K1",2,"MT","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","FALKO INT*VA*K6",1,"VA","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 210K ICON"
"2026/06/11","FANCO WP*ID*K1",1,"ID","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
"2026/06/11","FAULT INT*NY*K6",1,"NY","US","HOLDING_PATTERN","GENERAL_REMARK",1,"210K ICON"
"2026/06/11","FIROS WP*UT*K2",1,"UT","US","HOLDING_PATTERN","GENERAL_REMARK",1,"CHART 230K ICON"
